City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Esmeraldas,BR,67.06,light rain,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
2,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
4,Atuona,PF,78.39,scattered clouds,-9.8,-139.0333,Villa Enata
5,Saint-Philippe,RE,71.15,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
11,Hermanus,ZA,63.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Mareeba,AU,84.33,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
13,Vao,NC,70.48,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
14,Teluk Intan,MY,77.22,overcast clouds,4.0259,101.0213,Angsoka Hotel Teluk Intan
16,Mahebourg,MU,71.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
18,Jamestown,US,65.79,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
20,Honiara,SB,84.65,overcast clouds,-9.4333,159.95,Heritage Park Hotel
21,Bengkulu,ID,76.06,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
22,Dondo,MZ,71.11,light rain,-19.6094,34.7431,Arco Iris
23,Yurimaguas,PE,82.54,broken clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
28,Hilo,US,81.39,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
29,Busselton,AU,61.05,overcast clouds,-33.65,115.3333,Observatory Guest House
30,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
36,Coahuayana,MX,87.28,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
38,Tumsar,IN,68.41,few clouds,21.3833,79.7333,Sai Guest House
39,Izumo,JP,78.33,few clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
44,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Kununurra,AU,85.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
47,Inirida,CO,75.81,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
48,Axim,GH,75.85,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
52,Namatanai,PG,84.13,light rain,-3.6667,152.4333,Seagulls Inn Namatani
54,Sola,VU,79.97,scattered clouds,-13.8833,167.55,Leumerus Bungalows
56,Alofi,NU,77.34,overcast clouds,-19.0595,-169.9187,Taloa Heights
57,Rikitea,PF,74.82,overcast clouds,-23.1203,-134.9692,People ThankYou
59,Sigli,ID,78.58,broken clouds,5.3848,95.9609,Losmen Dua Mali
60,Chuy,UY,60.6,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
61,Lagoa,PT,70.39,overcast clouds,39.05,-27.9833,Casa Das Faias
62,Hithadhoo,MV,82.72,overcast clouds,-0.6,73.0833,Scoop Guest House
70,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
73,Camacha,PT,68.76,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
74,Hualmay,PE,63.72,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
75,Wanning,CN,80.78,overcast clouds,18.8003,110.3967,Paradise Hotel
76,Goderich,CA,67.21,overcast clouds,43.7501,-81.7165,Harmony Inn
77,Butaritari,KI,81.75,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
78,Nishihara,JP,83.48,heavy intensity rain,26.1842,127.7558,Minshuku Agaihama
79,Swellendam,ZA,61.9,overcast clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
80,Mogadishu,SO,78.08,few clouds,2.0371,45.3438,Hotel Juba
81,Awjilah,LY,75.97,clear sky,29.1081,21.2869,
83,Albany,US,62.1,overcast clouds,42.6001,-73.9662,
84,Ponta Do Sol,PT,72.23,few clouds,32.6667,-17.1,Hotel do Campo
86,Avera,US,73.71,few clouds,33.194,-82.5271,
87,Katsuura,JP,80.19,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
88,Tacoronte,ES,66.76,broken clouds,28.4769,-16.4102,Casa Laurel
90,Villacarrillo,ES,64.99,overcast clouds,38.1156,-3.0848,Hotel Sierra de Las Villas
92,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
93,Sao Joao Da Barra,BR,68.45,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
96,Christchurch,NZ,62.8,light rain,-43.5333,172.6333,The George
99,Yulara,AU,62.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
102,Cidreira,BR,64.99,overcast clouds,-30.1811,-50.2056,Hotel Castelo
103,Stephenville,US,87.89,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
104,Kamakwie,SL,74.41,overcast clouds,9.5,-12.2333,
106,Ankara,TR,62.2,clear sky,39.9199,32.8543,Ramada by Wyndham Ankara
107,San Patricio,US,86.05,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
108,Makakilo City,US,84.52,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
109,South Venice,US,83.98,clear sky,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
110,Georgetown,MY,79.9,light rain,5.4112,100.3354,Cititel Penang
112,Ribeira Grande,PT,69.48,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
116,Jalu,LY,75.36,clear sky,29.0331,21.5482,صاحبة الفخامة
118,Buchanan,LR,77.14,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
120,Hamilton,US,77.09,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
123,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
125,Vila Velha,BR,67.95,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
126,Kasempa,ZM,72.03,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
127,Bang Sai,TH,82.99,overcast clouds,14.2124,100.4966,แพ สนามชัย บางไทร อยุธยา ตกปลา fishing
128,Pizarro,CO,76.78,light rain,4.9533,-77.366,Hotel Limonar
130,Isangel,VU,78.49,clear sky,-19.55,169.2667,Tanna Lodge
133,Gewane,ET,77.49,overcast clouds,10.1664,40.6453,Ayelu pension
134,Airai,TL,74.25,overcast clouds,-8.9266,125.4092,Juvinal Martin
137,Saint Anthony,US,63.55,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
138,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
140,Tondano,ID,78.89,overcast clouds,1.3038,124.9112,Villa Bella
143,Ixtapa,MX,88.83,broken clouds,20.7,-105.2,Hotel Plaza Providencia
144,Sault Sainte Marie,CA,66.76,mist,46.5168,-84.3333,Comfort Inn
