City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Cristobal,VE,7.7669,-72.225,71.78,99,100,1.79,overcast clouds
1,Tasiilaq,GL,65.6145,-37.6368,32.16,52,14,4.94,few clouds
2,New Norfolk,AU,-42.7826,147.0587,57.7,45,100,1.99,overcast clouds
3,Vila Velha,BR,-20.3297,-40.2925,67.95,100,90,2.3,moderate rain
4,Paita,PE,-5.0892,-81.1144,65.26,87,70,12.8,broken clouds
5,Kavaratti,IN,10.5669,72.642,82.53,81,100,16.44,overcast clouds
6,Arraial Do Cabo,BR,-22.9661,-42.0278,67.01,89,100,19.24,moderate rain
7,Provideniya,RU,64.3833,-173.3,33.91,80,75,11.18,broken clouds
8,Kruisfontein,ZA,-34.0033,24.7314,53.11,65,53,6.24,broken clouds
9,Shingu,JP,33.7333,135.9833,79.79,73,44,3.83,scattered clouds
10,Rikitea,PF,-23.1203,-134.9692,74.84,77,100,14.9,overcast clouds
11,Busselton,AU,-33.65,115.3333,62.04,86,96,23.47,overcast clouds
12,Iqaluit,CA,63.7506,-68.5145,29.93,92,20,1.99,few clouds
13,Pucallpa,PE,-8.3791,-74.5539,84.24,74,40,2.3,scattered clouds
14,Longyearbyen,SJ,78.2186,15.6401,28.24,74,75,12.66,light snow
15,Korem,ET,12.5058,39.5228,54.43,85,64,1.9,light rain
16,Albany,US,42.6001,-73.9662,61.81,89,89,3.2,overcast clouds
17,Dunedin,NZ,-45.8742,170.5036,52.81,81,100,10.0,overcast clouds
18,Bambous Virieux,MU,-20.3428,57.7575,72.21,100,75,9.22,light rain
19,Rockport,US,28.0206,-97.0544,85.01,86,20,4.0,few clouds
20,Eyl,SO,7.9803,49.8164,78.4,85,66,11.74,broken clouds
21,Punta Arenas,CL,-53.15,-70.9167,46.51,49,40,28.77,scattered clouds
22,Caborca,MX,30.5838,-111.101,72.43,18,0,6.8,clear sky
23,Upernavik,GL,72.7868,-56.1549,33.48,96,100,14.81,light snow
24,Shetpe,KZ,44.1667,52.1167,47.97,46,99,4.63,overcast clouds
25,Carnarvon,AU,-24.8667,113.6333,69.87,60,0,19.57,light rain
26,Salym,RU,60.0625,71.4789,25.92,77,13,3.85,few clouds
27,Broken Hill,AU,-31.95,141.4333,56.91,47,41,12.66,scattered clouds
28,Pangnirtung,CA,66.1451,-65.7125,26.6,100,20,3.44,mist
29,Lebu,CL,-37.6167,-73.65,49.73,88,5,14.0,clear sky
30,Thompson,CA,55.7435,-97.8558,42.96,87,20,4.61,few clouds
31,Ushuaia,AR,-54.8,-68.3,38.86,87,40,11.5,light rain
32,Nikolskoye,RU,59.7035,30.7861,49.89,70,19,8.41,few clouds
33,Torbay,CA,47.6666,-52.7314,42.76,86,40,14.97,scattered clouds
34,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,87,100,11.21,overcast clouds
35,Glazov,RU,58.1394,52.6584,44.11,97,100,7.49,overcast clouds
36,Ugep,NG,5.8086,8.0812,73.54,96,94,2.46,overcast clouds
37,Port Hawkesbury,CA,45.6169,-61.3485,55.69,71,1,1.99,clear sky
38,Marzuq,YE,14.4,46.4667,75.49,63,99,0.89,overcast clouds
39,Lompoc,US,34.6391,-120.4579,68.38,80,20,12.66,mist
40,Avarua,CK,-21.2078,-159.775,77.05,73,100,8.05,overcast clouds
41,San Patricio,US,28.017,-97.5169,84.29,76,4,18.41,clear sky
42,Khatanga,RU,71.9667,102.5,13.14,96,100,6.64,light snow
43,Buala,SB,-8.145,159.5921,83.28,76,91,4.61,overcast clouds
44,Sena Madureira,BR,-9.0656,-68.6569,80.55,69,98,1.14,overcast clouds
45,Touros,BR,-5.1989,-35.4608,79.7,76,10,11.54,clear sky
46,Andra,RU,62.5147,65.8878,26.2,70,35,5.17,scattered clouds
47,Bluff,NZ,-46.6,168.3333,46.8,86,100,9.37,light rain
48,Coihaique,CL,-45.5752,-72.0662,49.95,71,75,5.75,light rain
49,Kampene,CD,-3.6,26.6667,67.48,99,90,2.89,overcast clouds
50,Jamestown,US,42.097,-79.2353,63.72,89,1,4.0,clear sky
51,Ransang,PH,8.9603,117.5828,82.11,82,100,12.15,heavy intensity rain
52,Mataura,NZ,-46.1927,168.8643,46.47,99,100,4.27,overcast clouds
53,Meulaboh,ID,4.1363,96.1285,80.2,76,100,2.19,overcast clouds
54,Puerto Ayora,EC,-0.7393,-90.3518,68.56,90,53,3.0,broken clouds
55,Dikson,RU,73.5069,80.5464,28.98,64,100,19.62,overcast clouds
56,Cam Ranh,VN,11.9214,109.1591,85.96,70,0,1.14,clear sky
57,Hobart,AU,-42.8794,147.3294,58.05,50,40,4.0,scattered clouds
58,Mar Del Plata,AR,-38.0023,-57.5575,58.08,58,0,8.01,clear sky
59,Linhares,BR,-19.3911,-40.0722,68.14,97,100,2.53,light rain
60,Port Hardy,CA,50.6996,-127.4199,48.38,81,75,4.61,light intensity shower rain
61,Saint-Philippe,RE,-21.3585,55.7679,72.95,89,4,6.67,clear sky
62,Bac Lieu,VN,9.285,105.7244,83.23,79,100,14.09,overcast clouds
63,Terme,TR,41.2092,36.9739,55.33,89,5,2.66,clear sky
64,Yellowknife,CA,62.456,-114.3525,35.42,100,90,7.0,light rain
65,Chokurdakh,RU,70.6333,147.9167,20.7,86,100,6.91,overcast clouds
66,Castro,BR,-24.7911,-50.0119,56.16,96,100,11.72,overcast clouds
67,Laguna,US,38.421,-121.4238,77.29,34,1,4.61,clear sky
68,Cherskiy,RU,68.75,161.3,14.47,90,17,5.19,few clouds
69,Imeni Poliny Osipenko,RU,52.4201,136.4853,44.91,65,99,12.06,overcast clouds
70,Kavieng,PG,-2.5744,150.7967,84.7,67,12,5.37,few clouds
71,The Valley,AI,18.217,-63.0578,82.26,81,100,25.21,overcast clouds
72,Esperance,AU,-33.8667,121.9,64.24,35,100,25.68,overcast clouds
73,Husavik,IS,66.0449,-17.3389,35.51,96,100,2.42,overcast clouds
74,Bredasdorp,ZA,-34.5322,20.0403,51.12,87,100,4.61,overcast clouds
75,Lethem,GY,3.3803,-59.7968,81.46,67,68,4.76,broken clouds
76,Atambua,ID,-9.1061,124.8925,86.99,48,87,4.25,overcast clouds
77,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,0,11.5,clear sky
78,Punta De Piedra,VE,7.6176,-71.4916,72.95,98,100,2.98,overcast clouds
79,Pisco,PE,-13.7,-76.2167,62.65,82,0,4.61,clear sky
80,Hirara,JP,24.8,125.2833,80.87,94,75,23.02,broken clouds
81,Juegang,CN,32.3174,121.1855,68.92,83,100,20.04,light rain
82,Tigzirt,DZ,36.8886,4.1198,64.26,72,0,6.58,clear sky
83,Saint George,US,37.1041,-113.5841,70.39,33,1,3.0,clear sky
84,Halden,NO,59.1226,11.3871,47.91,82,3,11.41,clear sky
85,Port Alfred,ZA,-33.5906,26.891,56.3,78,60,14.74,broken clouds
86,Dudinka,RU,69.4058,86.1778,21.61,92,100,6.04,overcast clouds
87,Manono,CD,-7.3,27.4167,75.04,66,100,2.42,overcast clouds
88,Estepona,ES,36.4276,-5.1459,67.82,86,100,10.36,overcast clouds
89,Hermanus,ZA,-34.4187,19.2345,64.9,55,100,7.07,overcast clouds
90,Kapaa,US,22.0752,-159.319,84.18,71,75,4.0,light rain
91,Hilo,US,19.7297,-155.09,80.33,83,40,6.91,light rain
92,Mandalgovi,MN,45.7625,106.2708,41.31,27,5,14.07,clear sky
93,Rawson,AR,-43.3002,-65.1023,58.6,62,1,7.23,clear sky
94,Saryozek,KZ,44.3583,77.9753,36.88,96,100,6.13,overcast clouds
95,Lata,PT,40.1629,-8.3327,65.05,57,18,5.06,few clouds
96,Okhotsk,RU,59.3833,143.3,30.61,71,38,10.85,scattered clouds
97,Aklavik,CA,68.2191,-135.0107,29.23,88,100,4.81,overcast clouds
98,Sisimiut,GL,66.9395,-53.6735,32.4,85,95,6.73,overcast clouds
