City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Aklavik,CA,2021-10-10 20:18:07,68.2191,-135.0107,30.92,81,100,10.13
1,Ushuaia,AR,2021-10-10 20:18:08,-54.8,-68.3,51.46,35,40,24.16
2,Kaitong,CN,2021-10-10 20:18:10,44.8135,123.15,42.01,51,0,7.99
3,Port Said,EG,2021-10-10 20:18:10,31.2565,32.2841,77.4,69,0,13.67
4,Sao Filipe,CV,2021-10-10 20:18:12,14.8961,-24.4956,81.39,70,0,5.61
5,Rikitea,PF,2021-10-10 20:18:13,-23.1203,-134.9692,74.64,81,95,18.81
6,Carnarvon,AU,2021-10-10 20:18:14,-24.8667,113.6333,62.67,82,0,14.97
7,Albany,US,2021-10-10 20:18:15,42.6001,-73.9662,67.17,77,97,1.01
8,Lebu,CL,2021-10-10 20:18:16,-37.6167,-73.65,55.54,72,17,10.78
9,Avarua,CK,2021-10-10 20:18:18,-21.2078,-159.775,77.05,73,100,9.22
10,Riyadh,SA,2021-10-10 20:18:19,24.6877,46.7219,82.54,16,0,6.6
11,Ndele,CF,2021-10-10 20:18:20,8.4109,20.6473,73.4,95,100,4.25
12,Bengkulu,ID,2021-10-10 20:17:21,-3.8004,102.2655,75.52,90,94,4.16
13,Vaini,TO,2021-10-10 20:18:22,-21.2,-175.2,75.36,88,75,4.61
14,Ribeira Grande,PT,2021-10-10 20:18:24,38.5167,-28.7,73.8,88,40,16.11
15,Ponta Do Sol,PT,2021-10-10 20:18:25,32.6667,-17.1,73.0,72,19,4.25
16,Atuona,PF,2021-10-10 20:18:27,-9.8,-139.0333,78.28,77,48,19.26
17,Nouadhibou,MR,2021-10-10 20:18:28,20.931,-17.0347,69.78,83,0,16.11
18,Klaksvik,FO,2021-10-10 20:18:29,62.2266,-6.589,41.92,72,100,21.45
19,Punta Arenas,CL,2021-10-10 20:18:31,-53.15,-70.9167,51.91,37,20,34.52
20,Cape Town,ZA,2021-10-10 20:15:39,-33.9258,18.4232,65.12,70,0,4.61
21,Aykhal,RU,2021-10-10 20:18:33,66.0,111.5,20.12,94,100,13.76
22,Provideniya,RU,2021-10-10 20:18:34,64.3833,-173.3,32.11,74,75,6.71
23,Nizhniy Tsasuchey,RU,2021-10-10 20:18:36,50.5167,115.1333,37.63,58,0,5.57
24,Qaanaaq,GL,2021-10-10 20:18:36,77.484,-69.3632,29.62,90,100,8.3
25,Talnakh,RU,2021-10-10 20:18:37,69.4865,88.3972,20.71,96,93,5.41
26,Sterling,US,2021-10-10 20:18:39,39.0062,-77.4286,72.77,87,90,8.01
27,Byron Bay,AU,2021-10-10 20:18:40,-28.65,153.6167,69.91,84,27,12.88
28,Aanekoski,FI,2021-10-10 20:18:40,62.6946,25.818,50.07,100,100,11.36
29,Thompson,CA,2021-10-10 20:18:42,55.7435,-97.8558,50.16,81,75,4.61
30,Butaritari,KI,2021-10-10 20:18:42,3.0707,172.7902,81.23,70,65,11.32
31,Busselton,AU,2021-10-10 20:18:44,-33.65,115.3333,54.09,75,94,14.54
32,Bloemfontein,ZA,2021-10-10 20:18:45,-29.1211,26.214,56.68,51,0,8.05
33,Inuvik,CA,2021-10-10 20:18:46,68.3499,-133.7218,30.96,100,90,5.75
34,Naze,JP,2021-10-10 20:18:48,28.3667,129.4833,76.89,87,63,16.11
35,Harper,LR,2021-10-10 20:18:48,4.375,-7.7169,77.86,89,97,9.89
36,Taunggyi,MM,2021-10-10 20:18:49,20.7833,97.0333,63.14,97,100,2.66
37,Saint George,US,2021-10-10 20:18:50,37.1041,-113.5841,72.07,32,1,1.99
38,Airai,TL,2021-10-10 20:18:50,-8.9266,125.4092,60.62,71,100,1.1
39,Sri Aman,MY,2021-10-10 20:18:51,1.2376,111.4621,73.45,94,100,0.0
40,Cayenne,GF,2021-10-10 20:18:51,4.9333,-52.3333,86.04,76,0,3.0
41,Grand Gaube,MU,2021-10-10 20:18:52,-20.0064,57.6608,72.0,91,98,5.01
42,Cairns,AU,2021-10-10 20:14:16,-16.9167,145.7667,69.75,90,5,6.91
43,Port Lincoln,AU,2021-10-10 20:18:54,-34.7333,135.8667,49.42,65,4,9.84
44,Yellowknife,CA,2021-10-10 20:18:55,62.456,-114.3525,38.41,100,90,14.97
45,Montague,US,2021-10-10 20:18:56,42.5356,-72.5351,64.49,75,100,3.74
46,Mulege,MX,2021-10-10 20:18:57,26.8833,-111.9833,86.32,30,0,14.65
47,Mana,GF,2021-10-10 20:18:58,5.6592,-53.7767,82.92,77,100,11.03
48,Mataura,NZ,2021-10-10 20:19:00,-46.1927,168.8643,47.48,83,100,2.13
49,Tiarei,PF,2021-10-10 20:19:00,-17.5333,-149.3333,84.22,75,30,9.28
50,Kovdor,RU,2021-10-10 20:19:02,67.5662,30.4758,45.1,98,100,2.06
51,Weinan,CN,2021-10-10 20:19:03,34.5036,109.5089,46.09,86,100,1.16
52,Irituia,BR,2021-10-10 20:19:03,-1.7711,-47.4381,80.42,78,78,4.07
53,Salinopolis,BR,2021-10-10 20:19:05,-0.6136,-47.3561,82.99,71,75,13.87
54,Pinyug,RU,2021-10-10 20:19:06,60.251,47.7842,45.57,91,100,6.78
55,Jamestown,US,2021-10-10 20:15:36,42.097,-79.2353,72.99,70,40,8.01
56,Puerto Escondido,MX,2021-10-10 20:19:08,15.85,-97.0667,88.63,55,40,8.05
57,Mhango,TZ,2021-10-10 20:19:09,-3.2833,32.85,75.83,60,37,5.99
58,Clarksburg,US,2021-10-10 20:19:10,39.2807,-80.3445,82.31,49,1,3.44
59,Milkovo,RU,2021-10-10 20:19:11,54.7167,158.6167,32.79,76,100,4.07
60,Leningradskiy,RU,2021-10-10 20:19:13,69.3833,178.4167,19.51,90,100,4.47
61,Igmaya-An,PH,2021-10-10 20:19:14,10.5499,123.2206,71.55,96,100,10.13
62,Azul,AR,2021-10-10 20:19:15,-36.777,-59.8585,66.34,78,100,8.05
63,East London,ZA,2021-10-10 20:15:29,-33.0153,27.9116,60.58,68,5,17.09
64,Rocha,UY,2021-10-10 20:19:16,-34.4833,-54.3333,60.4,76,100,13.06
65,San Quintin,MX,2021-10-10 20:19:18,30.4833,-115.95,73.02,54,0,9.89
66,Praia,CV,2021-10-10 20:19:19,14.9215,-23.5087,79.34,78,0,19.57
67,Yerofey Pavlovich,RU,2021-10-10 20:19:20,53.9667,121.9667,31.15,79,1,5.01
68,Barrow,US,2021-10-10 20:19:22,71.2906,-156.7887,28.42,74,90,8.05
